,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
60,010140,KR7010140002,삼성중공업,KOSPI,,7290,2,-20,-0.27,7320,7360,7270,773507,5655507240,6415200000000,880000000,STK
61,005387,KR7005382007,현대차2우B,KOSPI,,161100,2,-6000,-3.59,168800,170000,160900,146156,24217416200,5819028176700,36120597,STK
62,011170,KR7011170008,롯데케미칼,KOSPI,,135900,2,-2500,-1.81,138500,138500,135500,23226,3178522100,5813179442100,42775419,STK
63,009830,KR7009830001,한화솔루션,KOSPI,,33300,1,50,0.15,33450,33650,33200,175447,5866359350,5724021448800,171892536,STK
64,005070,KR7005070008,코스모신소재,KOSPI,,176000,1,5600,3.29,170400,176500,169400,134339,23346811100,5721893056000,32510756,STK
65,267250,KR7267250009,HD현대,KOSPI,,72000,2,-200,-0.28,72300,73400,71500,52235,3794039300,5687502120000,78993085,STK
66,348370,KR7348370008,엔켐,KOSDAQ,벤처기업부,325000,1,23500,7.79,317500,336000,314500,682982,222395798500,5582892250000,17178130,KSQ
67,066970,KR7066970005,엘앤에프,KOSPI,,153100,1,1100,0.72,150100,153500,148300,103823,15607955900,5549542007500,36247825,STK
68,251270,KR7251270005,넷마블,KOSPI,,64000,2,-600,-0.93,64300,64900,62700,20196,1283840500,5501024128000,85953502,STK
69,088980,KR7088980008,맥쿼리인프라,KOSPI,,12550,1,30,0.24,12550,12560,12530,102369,1284456760,5469056005250,435781355,STK
70,006800,KR7006800007,미래에셋증권,KOSPI,,8880,2,-140,-1.55,9030,9030,8870,184622,1649234770,5375209703040,605316408,STK
71,051900,KR7051900009,LG생활건강,KOSPI,,343500,1,3500,1.03,340000,344000,333500,32408,10998960000,5364850669500,15618197,STK
72,001570,KR7001570001,금양,KOSPI,,91300,2,-200,-0.22,89800,91500,87200,232708,20710892200,5299968378100,58050037,STK
73,000100,KR7000100008,유한양행,KOSPI,,65200,1,1900,3.0,63200,66000,62800,279303,18082909900,5229630972800,80209064,STK
74,454910,KR7454910001,두산로보틱스,KOSPI,,80300,1,500,0.63,79200,81700,79000,346074,27896023100,5205044394000,64819980,STK
75,047810,KR7047810007,한국항공우주,KOSPI,,53000,2,-400,-0.75,53700,54000,53000,236678,12673305300,5166180671000,97475107,STK
